from_stop_id,to_stop_id,min_transfer_time
1,83,19.2
2,437,91.8
2,438,91.8
3,437,91.8
3,438,91.8
4,439,91.3
4,440,91.3
5,439,91.3
5,440,91.3
33,349,94.2
33,350,94.2
34,349,94.2
34,350,94.2
35,349,94.3
35,350,94.3
36,349,94.3
36,350,94.3
43,415,28.6
43,2449,28.6
44,45,40.9
44,1952,12.4
45,44,40.9
45,1952,53.3
45,1953,40.9
51,666,82.5
59,989,48.9
61,62,18.3
61,244,18.3
62,61,18.3
63,64,18.7
64,63,18.7
64,2933,18.7
65,79,14.6
65,2152,14.6
65,2153,14.6
67,68,19.6
68,67,19.6
69,1012,76.8
69,1013,76.8
71,2781,43.7
71,2844,43.7
71,2924,43.7
73,74,92.0
75,1632,94.9
76,1885,15.3
76,1886,15.3
79,65,14.6
81,82,16.2
81,2582,16.2
81,2583,16.2
82,81,16.2
83,1,19.2
85,1088,11.4
88,2658,13.2
89,2658,13.2
94,787,13.6
95,787,13.6
96,122,94.3
96,123,94.3
100,1295,8.7
103,2888,6.1
110,1642,93.7
112,2866,94.5
113,2866,94.5
114,2843,94.4
115,2843,94.4
120,1490,10.1
121,1490,10.1
122,96,94.3
123,96,94.3
124,1455,94.2
125,1455,94.2
126,128,94.3
126,1855,94.3
128,126,94.3
128,1854,94.3
131,2105,91.6
131,2106,91.6
132,2105,91.6
132,2106,91.6
133,939,83.0
136,137,14.1
137,136,14.1
138,1646,66.5
148,1735,24.7
148,2625,52.0
149,1735,24.7
149,2625,52.0
157,169,98.7
158,170,98.7
159,2076,97.5
163,2657,10.5
165,166,69.1
165,167,69.1
166,165,69.1
166,1790,99.4
167,165,69.1
167,1790,99.4
169,157,98.7
170,158,98.7
173,616,6.1
174,175,13.2
175,174,13.2
181,1098,95.2
181,1099,95.2
181,2672,95.2
187,188,87.8
187,752,89.3
188,187,87.8
188,640,85.2
188,753,85.2
189,658,89.1
197,200,95.0
197,993,95.0
198,199,13.1
199,198,13.1
200,197,95.0
201,202,8.3
202,201,8.3
205,1652,97.1
206,715,25.8
213,516,72.2
213,517,72.2
214,215,11.0
214,1000,11.0
214,1001,11.0
215,214,11.0
216,567,36.3
217,218,10.7
218,217,10.7
220,219,68.0
221,222,22.6
221,1418,22.6
222,221,22.1
222,1417,22.1
223,224,10.1
224,223,10.1
225,2639,11.0
225,2769,11.0
226,227,10.1
227,226,10.1
228,229,10.3
229,228,10.3
230,231,10.5
230,2079,10.5
231,230,10.5
231,2078,10.5
232,233,10.5
233,232,10.5
234,235,30.6
234,2260,93.7
235,234,32.8
235,2261,32.8
236,237,24.8
236,2397,24.8
237,236,23.9
237,2396,23.9
238,239,10.6
239,238,10.6
242,2574,10.4
243,2574,10.4
244,61,18.3
245,839,97.0
245,840,97.0
248,259,94.5
250,261,94.5
251,262,94.4
252,1498,94.3
253,264,94.4
254,265,94.3
259,248,94.5
260,249,95.5
260,1419,95.5
261,250,94.5
262,251,94.4
263,252,94.5
264,253,94.4
265,254,94.3
266,267,84.9
266,270,86.9
266,271,86.9
266,2123,84.9
267,266,84.9
267,867,85.9
267,1441,84.9
268,269,85.6
268,270,84.2
268,271,84.2
269,268,85.6
270,266,86.9
270,268,84.2
270,1441,86.9
271,266,86.9
271,268,84.2
271,1441,86.9
276,853,88.3
276,854,88.3
277,853,88.3
277,854,88.3
284,285,8.2
285,284,8.2
292,1289,80.3
292,2023,10.9
308,309,14.1
308,798,14.1
309,308,14.1
309,797,14.1
312,2720,11.0
317,321,90.7
317,2126,90.7
318,321,90.7
318,2126,90.7
321,317,90.7
321,318,90.7
321,1443,86.6
323,2527,94.3
324,2090,94.3
324,2091,94.3
324,2092,94.4
324,2093,94.4
325,2090,94.3
325,2091,94.3
325,2092,94.4
325,2093,94.4
333,334,29.3
333,600,62.8
333,601,62.8
334,333,29.3
334,600,92.0
334,601,92.0
335,336,13.9
336,335,13.9
340,341,16.0
341,340,16.0
344,351,94.3
344,352,94.3
345,351,94.3
345,352,94.3
346,353,94.2
346,803,14.4
346,804,94.2
346,805,94.2
349,33,94.2
349,34,94.2
349,35,94.3
349,36,94.3
350,33,94.2
350,34,94.2
350,35,94.3
350,36,94.3
351,344,94.3
351,345,94.3
351,639,94.1
351,1462,94.1
352,344,94.3
352,345,94.3
352,639,94.1
352,1462,94.1
353,354,12.7
353,355,12.7
353,806,12.7
354,353,12.7
354,803,94.2
354,804,12.7
354,805,12.7
355,353,12.7
355,803,94.2
355,804,12.7
355,805,12.7
357,356,94.1
358,2100,94.3
358,2101,94.3
361,362,94.8
361,1621,94.8
362,361,94.8
363,2057,72.7
399,398,94.4
399,2561,94.4
399,2648,81.1
403,891,81.1
403,908,81.1
403,909,81.1
404,878,8.5
405,406,75.8
405,407,75.8
406,405,75.8
407,405,75.8
409,410,12.4
410,409,12.4
410,414,12.4
410,2800,12.4
412,413,10.3
413,412,10.3
414,410,12.4
415,43,28.6
415,423,28.6
418,419,70.0
419,418,70.0
421,422,13.7
421,813,13.7
422,421,13.7
422,2809,13.7
423,415,28.6
423,2449,28.6
434,436,80.9
434,1036,80.9
435,436,80.9
435,1036,80.9
436,434,80.9
436,435,80.9
436,1034,91.2
436,1035,91.2
437,2,91.8
437,3,91.8
437,2197,91.8
437,2198,91.8
438,2,91.8
438,3,91.8
438,2197,91.8
438,2198,91.8
439,4,91.3
439,5,91.3
440,4,91.3
440,5,91.3
443,2737,74.8
446,449,12.9
447,448,10.7
447,895,10.7
447,896,10.7
448,447,10.7
449,446,12.9
450,451,8.2
451,450,8.2
455,1691,38.8
458,1464,70.3
492,496,82.5
492,497,82.5
492,1764,82.5
492,2859,82.5
493,496,82.5
493,497,82.5
493,1764,82.5
493,2859,82.5
495,1838,99.5
496,492,82.5
496,493,82.5
496,498,81.8
497,492,82.5
497,493,82.5
497,498,81.8
498,496,81.8
498,497,81.8
498,501,82.6
498,1764,81.8
498,2660,82.6
498,2859,81.8
501,498,82.6
504,510,79.6
504,2694,79.6
504,2885,79.6
505,506,33.9
506,505,33.9
507,508,11.3
507,698,11.3
507,705,64.9
507,2905,64.9
508,507,11.3
508,705,53.6
508,2905,53.6
510,2536,98.5
511,512,47.3
511,2226,75.9
511,2229,75.9
512,511,47.3
512,2204,90.6
512,2205,90.6
512,2226,51.3
512,2229,51.3
512,2248,90.6
512,2249,90.6
514,2536,18.0
516,213,72.2
517,213,72.2
561,562,40.8
561,1954,40.8
561,1955,53.2
562,561,40.8
562,1955,12.4
567,216,25.0
569,1372,87.2
570,1372,87.2
573,1333,14.3
580,581,10.7
581,580,10.7
581,2729,10.7
581,2763,10.7
582,2766,10.5
583,1660,93.5
586,587,17.5
586,1044,17.5
587,586,17.5
592,2522,13.5
595,691,78.7
595,692,78.7
596,691,78.7
596,692,78.7
599,2291,90.6
600,333,62.8
600,334,92.0
601,333,62.8
601,334,92.0
602,608,51.3
603,609,95.7
603,610,95.7
606,2817,77.5
606,2818,77.5
607,2817,77.5
607,2818,77.5
608,602,51.3
609,603,95.7
610,603,95.7
613,614,22.0
614,613,22.0
614,2787,22.0
615,1121,51.9
615,2795,59.7
616,173,6.1
617,2626,7.0
617,2900,7.0
621,624,79.8
622,2170,99.1
623,2171,99.3
624,1194,44.4
625,2173,99.1
625,2559,99.0
626,1234,99.2
626,2174,99.2
629,1995,99.0
629,1996,99.0
629,2000,99.0
629,2001,99.0
629,2180,99.0
630,2181,99.2
631,2182,97.0
631,2192,97.0
631,2193,97.8
632,2184,99.1
632,2330,99.1
632,2334,99.3
632,2927,99.3
632,2928,99.3
634,2911,9.1
635,2551,68.9
637,1850,17.5
639,351,94.1
639,352,94.1
640,188,85.2
640,2947,75.2
641,2655,91.5
642,2004,20.5
642,2006,41.6
653,658,89.1
658,189,89.1
658,653,89.1
666,51,85.8
668,2029,37.8
669,670,11.7
670,669,11.7
672,1869,18.4
677,2333,96.4
677,2481,12.0
677,2511,96.4
678,2333,96.4
678,2481,12.0
678,2511,96.4
690,691,79.7
690,692,79.7
690,1708,78.1
691,595,78.7
691,596,78.7
691,690,79.7
691,2036,79.7
692,595,78.7
692,596,78.7
692,690,79.7
692,2036,79.7
697,2651,38.9
698,507,11.3
698,705,53.6
698,2905,53.6
699,700,54.9
699,710,57.4
699,711,57.4
700,699,54.9
705,507,64.9
705,508,53.6
705,698,53.6
708,1815,67.8
708,1816,67.8
709,1815,67.8
709,1816,67.8
710,699,57.4
711,699,57.4
714,2947,91.7
723,2002,63.8
724,733,86.1
724,734,86.1
725,733,86.1
725,734,86.1
726,735,65.6
729,735,83.5
730,735,83.5
733,724,86.1
733,725,86.1
734,724,86.1
734,725,86.1
735,726,65.6
735,729,83.5
735,730,83.5
738,745,49.1
741,747,54.7
741,751,77.1
742,746,12.6
742,1696,42.3
745,738,49.1
746,742,12.6
746,1696,29.6
747,741,54.7
748,751,55.4
751,741,77.1
751,748,55.4
752,187,89.3
753,188,85.2
753,2947,75.2
759,760,94.4
760,759,94.4
768,769,94.5
768,1210,94.5
769,768,94.5
770,1770,7.4
771,1770,7.4
772,773,53.2
772,1956,53.2
772,1957,41.4
773,772,53.2
773,1957,11.8
785,786,13.6
786,785,13.6
787,94,13.6
787,95,13.6
787,788,13.6
788,787,13.6
789,790,13.6
790,789,13.6
791,792,13.8
792,791,13.8
793,794,13.9
794,793,13.9
797,309,14.1
797,798,14.1
798,308,14.1
798,797,14.1
799,800,14.2
800,799,14.2
801,802,14.3
802,801,14.3
803,346,14.4
804,354,12.7
804,355,12.7
804,806,12.7
805,354,12.7
805,355,12.7
805,806,12.7
806,353,12.7
806,803,94.2
806,804,12.7
806,805,12.7
807,808,11.9
808,807,11.9
811,2056,62.8
813,421,13.7
813,2809,13.7
814,1164,15.2
815,816,13.6
816,815,13.6
817,1163,83.7
818,819,22.8
818,925,22.8
819,818,22.9
819,924,22.9
820,1050,34.4
826,827,17.9
826,2012,83.7
827,826,17.9
834,855,34.3
834,1738,8.7
839,245,97.0
840,245,97.0
845,853,89.1
845,854,89.1
846,853,89.1
846,854,89.1
847,853,88.3
847,854,88.3
848,853,88.3
848,854,88.3
853,276,88.3
853,277,88.3
853,845,89.1
853,846,89.1
853,847,88.3
853,848,88.3
854,276,88.3
854,277,88.3
854,845,89.1
854,846,89.1
854,847,88.3
854,848,88.3
856,2253,75.2
858,859,90.4
861,2116,85.3
861,2117,85.3
861,2771,85.3
861,2780,85.3
862,2118,84.2
863,2119,88.5
865,2121,84.7
866,2113,84.1
866,2122,84.1
867,267,85.9
867,2123,85.9
868,2129,86.6
871,878,8.5
872,904,79.1
872,2662,79.1
873,904,79.1
873,2662,79.1
874,903,22.7
875,903,22.7
876,951,8.9
877,879,14.0
878,404,8.5
878,871,8.5
879,877,14.0
881,899,88.6
881,900,88.6
881,2839,88.6
882,899,88.6
882,900,88.6
882,2839,88.6
883,893,98.0
883,894,87.2
883,899,89.9
883,900,89.9
883,2839,89.9
884,893,98.0
884,894,87.2
884,899,89.9
884,900,89.9
884,2839,89.9
885,894,89.4
885,906,91.9
885,907,91.9
886,894,89.4
886,906,91.9
886,907,91.9
887,906,88.8
887,907,88.8
888,906,88.8
888,907,88.8
891,403,81.1
891,892,66.8
891,1027,81.1
892,891,66.8
892,908,66.8
892,909,66.8
893,883,98.0
893,884,98.0
893,894,10.8
894,883,87.2
894,884,87.2
894,885,89.4
894,886,89.4
894,893,10.8
895,447,10.7
896,447,10.7
899,881,88.6
899,882,88.6
899,883,89.9
899,884,89.9
900,881,88.6
900,882,88.6
900,883,89.9
900,884,89.9
903,874,14.3
903,875,14.3
903,905,79.9
904,872,79.1
904,873,79.1
905,874,61.4
905,875,61.4
905,903,84.1
906,885,91.9
906,886,91.9
906,887,88.8
906,888,88.8
907,885,91.9
907,886,91.9
907,887,88.8
907,888,88.8
908,403,81.1
908,892,66.8
908,1027,81.1
909,403,81.1
909,892,66.8
909,1027,81.1
924,819,22.8
924,925,22.8
925,818,22.9
925,924,22.9
926,927,8.3
926,1277,8.3
927,926,8.3
927,1278,8.3
928,929,8.2
928,1303,8.2
928,1304,8.2
929,928,8.2
931,932,8.3
931,1537,8.3
932,931,8.3
932,1536,8.3
935,934,8.2
937,938,7.9
938,937,7.9
938,2370,7.9
938,2371,7.9
939,133,83.0
940,941,32.6
941,940,32.6
942,2571,96.9
943,2892,85.9
946,1740,56.5
947,2626,7.0
947,2900,7.0
949,951,97.3
950,2654,91.7
951,876,8.9
951,949,97.3
952,2893,33.7
974,2908,10.4
974,2921,10.4
975,2908,10.4
975,2921,10.4
977,976,23.9
978,979,14.5
979,978,14.5
980,981,27.5
981,980,27.5
982,1137,43.6
982,1138,43.6
985,986,11.9
986,985,11.9
988,2665,11.8
989,59,48.9
991,992,11.6
992,991,11.6
993,197,95.0
1000,214,11.0
1001,214,11.0
1002,1383,80.6
1002,1830,80.7
1003,1012,76.8
1003,1013,76.8
1006,1007,13.3
1007,1006,13.3
1009,1619,13.0
1009,1620,13.0
1009,2628,13.0
1010,2711,96.1
1012,69,65.1
1012,1003,65.1
1012,2852,65.1
1013,69,65.1
1013,1003,65.1
1013,2852,65.1
1016,1011,13.2
1020,2752,54.5
1026,2764,80.3
1027,891,81.1
1027,908,81.1
1027,909,81.1
1034,436,91.2
1034,1036,91.2
1035,436,91.2
1035,1036,91.2
1036,434,80.9
1036,435,80.9
1036,1034,91.2
1036,1035,91.2
1038,1045,16.4
1040,1057,98.8
1040,1058,98.8
1040,1387,98.8
1041,1042,13.7
1041,1064,98.9
1042,1041,13.7
1043,586,44.2
1043,587,42.0
1043,1044,42.0
1044,586,17.5
1045,1038,16.4
1049,1050,34.4
1050,820,34.4
1050,1049,34.4
1057,1040,98.8
1058,1040,98.8
1060,1061,42.3
1060,1468,10.6
1061,1060,42.3
1061,1467,42.3
1061,1468,52.9
1064,1041,98.9
1064,1042,85.2
1077,1298,86.4
1078,1178,85.0
1079,1179,85.7
1080,2687,18.1
1087,70,65.1
1091,99,7.1
1098,181,95.2
1099,181,95.2
1107,1114,44.1
1114,1107,44.1
1119,1120,57.3
1120,1119,53.2
1121,615,17.8
1121,2795,77.4
1122,1123,43.1
1123,1122,42.2
1124,2659,59.2
1126,2785,42.2
1127,2784,46.8
1128,1509,7.0
1146,1170,93.2
1147,1170,93.2
1158,1772,99.1
1158,1773,87.7
1158,2848,67.6
1159,1160,15.0
1160,1159,15.0
1161,1162,13.6
1162,1161,13.6
1163,817,81.3
1164,814,15.2
1165,2324,10.5
1168,2849,25.5
1170,1146,93.2
1170,1147,93.2
1174,1173,72.8
1175,2151,37.1
1176,1080,89.8
1176,1920,99.3
1176,2638,18.4
1176,2687,92.3
1178,1078,85.0
1179,1079,85.7
1183,1184,21.0
1184,1183,21.0
1185,2159,47.3
1196,1869,98.8
1197,1589,59.0
1199,1812,92.7
1205,1206,12.6
1206,1205,12.6
1207,2578,89.0
1207,2579,89.0
1210,768,94.5
1216,2557,51.0
1217,2557,51.0
1228,1234,99.2
1228,2174,99.2
1234,626,99.2
1234,1228,99.2
1238,1458,73.0
1239,1458,73.0
1241,1242,8.4
1241,1328,8.4
1241,1483,89.7
1242,1483,81.3
1243,1244,8.0
1244,1243,8.0
1245,1678,9.7
1245,2747,9.7
1246,1250,99.3
1247,1246,72.3
1247,1709,72.3
1248,1249,14.0
1248,1603,87.0
1248,1604,87.0
1249,1248,26.2
1250,2290,67.1
1251,2216,68.7
1251,2217,68.7
1251,2632,25.3
1257,1261,89.9
1257,1962,89.9
1257,1963,89.9
1257,2661,89.9
1258,1260,88.1
1260,1258,88.1
1261,1257,89.9
1261,2642,89.9
1263,1461,52.5
1269,2362,87.1
1270,2362,87.1
1277,926,8.3
1277,1278,8.3
1278,927,8.3
1278,1277,8.3
1289,292,80.3
1289,2023,91.3
1289,2024,80.3
1296,109,8.9
1298,1077,86.4
1303,928,8.2
1304,928,8.2
1309,1778,7.1
1310,1778,7.1
1325,1326,81.1
1325,1327,81.1
1326,1325,81.1
1327,1325,81.1
1328,1483,81.3
1329,1577,80.5
1330,1484,80.9
1331,2781,43.7
1331,2844,43.7
1331,2924,43.7
1333,573,14.3
1333,2935,14.3
1334,1335,45.5
1335,1334,45.5
1335,1814,92.8
1343,2170,99.1
1348,503,53.6
1348,1349,37.1
1348,2686,46.5
1349,503,65.7
1349,1348,12.1
1349,2686,58.6
1350,1352,93.2
1361,1448,84.6
1361,2898,84.6
1362,1612,91.1
1363,1612,91.1
1372,569,87.2
1372,570,87.2
1375,1378,61.7
1376,1378,61.7
1378,1377,50.7
1381,1379,89.5
1383,1002,45.0
1383,1382,66.7
1383,1830,41.5
1387,1040,98.8
1389,1877,99.4
1389,1878,99.4
1389,2000,98.4
1389,2001,98.4
1394,1395,18.3
1394,1884,98.9
1394,2917,8.2
1396,2560,98.8
1397,2786,20.9
1407,1408,93.9
1407,1907,98.3
1407,2750,98.3
1408,1407,93.9
1408,1409,94.3
1408,1410,94.3
1409,1408,94.3
1409,2843,94.2
1410,1408,94.3
1410,2843,94.2
1411,2843,94.4
1412,2843,94.4
1413,1414,7.3
1414,1413,7.3
1417,222,22.6
1417,1418,22.6
1418,221,22.1
1418,1417,22.1
1420,249,95.5
1420,1419,95.5
1425,1426,57.2
1426,1425,57.2
1435,1436,14.2
1436,1414,94.2
1436,1435,14.2
1437,1438,94.1
1438,1437,94.1
1439,1440,21.9
1439,2335,21.9
1440,1439,22.1
1440,2336,22.1
1441,267,84.9
1441,270,86.9
1441,271,86.9
1441,2123,84.9
1442,2125,83.5
1443,321,86.6
1443,2126,86.6
1444,1606,86.9
1444,1607,86.9
1444,1894,83.1
1444,1895,83.1
1444,1896,83.1
1445,1606,86.9
1445,1607,86.9
1445,1894,83.1
1445,1895,83.1
1445,1896,83.1
1446,1447,24.4
1447,1446,24.4
1448,1361,84.6
1448,1814,68.4
1449,1240,53.6
1452,1451,38.6
1453,1457,85.5
1454,1457,85.5
1455,124,94.2
1455,125,94.2
1456,1457,56.9
1456,2059,14.8
1456,2060,25.9
1457,1453,85.5
1457,1454,85.5
1457,1456,56.9
1457,2059,71.7
1457,2060,82.8
1458,1238,73.0
1458,1239,73.0
1461,1263,52.5
1462,351,94.1
1462,352,94.1
1464,458,70.3
1465,1466,10.6
1466,1465,10.6
1467,1061,42.3
1467,1468,10.6
1468,1060,10.6
1468,1061,52.9
1468,1467,10.6
1473,1474,10.6
1474,1473,10.6
1477,1478,10.6
1478,1477,10.6
1481,1608,17.0
1481,1609,31.4
1483,1241,89.9
1483,1242,98.4
1483,1328,98.4
1484,1330,80.9
1488,1489,10.2
1489,1488,10.2
1490,120,10.1
1490,121,10.1
1490,1491,10.1
1491,1490,10.1
1492,1493,10.0
1493,1492,10.0
1494,1495,10.0
1495,1494,10.0
1496,2639,11.0
1496,2769,11.0
1497,1498,10.0
1498,1497,10.0
1499,1500,10.0
1500,1499,10.0
1501,1502,10.0
1502,1501,10.0
1509,1128,7.0
1510,1511,10.0
1511,1510,10.0
1512,1513,10.8
1513,1512,10.8
1518,1519,25.8
1518,1523,91.3
1519,1518,25.8
1522,1519,91.5
1522,1523,25.6
1523,1522,25.6
1523,1531,91.4
1524,1525,25.6
1525,1524,25.6
1528,1529,25.5
1528,2201,25.5
1529,1528,25.5
1529,2200,25.5
1530,1522,91.7
1530,1531,25.7
1531,1530,25.7
1532,1533,81.7
1536,932,8.3
1536,1537,8.3
1537,931,8.3
1537,1536,8.3
1549,1550,21.3
1549,2907,11.1
1549,2922,11.1
1550,1549,21.3
1550,2907,10.2
1550,2922,10.2
1552,1553,10.0
1553,1552,10.0
1554,1555,9.3
1555,1554,9.3
1558,1559,9.9
1559,1558,9.9
1560,1566,22.1
1562,1563,11.0
1563,1562,11.0
