stop_name,stop_lat,stop_lon,stop_id,zone_id
3rd St & 4th St  ,37.772618,-122.389786,1,1
Bacon St & San Bruno Ave   ,37.727859,-122.402994,2,2
Bacon St & San Bruno Ave  ,37.727645,-122.403269,3,3
Bacon St & Somerset St  ,37.72667,-122.40746,4,4
Bacon St & Somerset St  ,37.72654,-122.40766,5,5
Baker Beach Parking Lot SW,37.790249,-122.482263,6,6
Baker St & Greenwich St  ,37.797606,-122.445693,7,7
Bay St & Midway St  ,37.806094,-122.409161,8,8
Balboa St & 4th Ave  ,37.777396,-122.461751,9,9
Balboa St & 4th Ave  ,37.777262,-122.461969,10,10
Balboa St & 6th Ave  ,37.777289,-122.464158,11,11
Balboa St & 6th Ave  ,37.777173,-122.463849,12,12
Balboa St & 8th Ave  ,37.777199,-122.466038,13,13
Balboa St & 8th Ave  ,37.777065,-122.466256,14,14
Balboa St & 10th Ave  ,37.777101,-122.46817,15,15
Balboa St & 10th Ave  ,37.776967,-122.468388,16,16
Balboa St & 12th Ave  ,37.777002,-122.470313,17,17
Balboa St & 12th Ave  ,37.776868,-122.470531,18,18
Balboa St & 17th Ave  ,37.77676,-122.475769,19,19
Balboa St & 17th Ave  ,37.776626,-122.475987,20,20
Balboa St & 19th Ave  ,37.776662,-122.477912,21,21
Balboa St & 19th Ave  ,37.776528,-122.47813,22,22
Balboa St & 21st Ave  ,37.776563,-122.480056,23,23
Balboa St & 21st Ave  ,37.776429,-122.480273,24,24
Balboa St & 23rd Ave  ,37.77647,-122.48219,25,25
Balboa St & 23rd Ave  ,37.77633,-122.482417,26,26
Balboa St & 25th Ave  ,37.776356,-122.484606,27,27
Balboa St & 25th Ave  ,37.77624,-122.484296,28,28
Balboa St & 28th Ave  ,37.776222,-122.487551,29,29
Balboa St & 28th Ave  ,37.776088,-122.487769,30,30
Balboa St & 30th Ave  ,37.776114,-122.489958,31,31
Balboa St & 30th Ave  ,37.775989,-122.489912,32,32
Balboa St & 32nd Ave  ,37.776024,-122.491838,33,33
Balboa St & 32nd Ave  ,37.77589,-122.492056,34,34
Balboa St & 34th Ave  ,37.775791,-122.494199,35,35
Balboa St & 35th Ave   ,37.775898,-122.494577,36,36
Balboa St & 37th Ave  ,37.775781,-122.497202,37,37
Balboa St & 37th Ave  ,37.775647,-122.497419,38,38
Balboa St & 40th Ave  ,37.775637,-122.500399,39,39
Balboa St & 40th Ave  ,37.775503,-122.500617,40,40
Balboa St & 43rd Ave  ,37.775484,-122.50362,41,41
Balboa St & 43rd Ave  ,37.77535,-122.503838,42,42
Balboa St & Arguello Blvd  ,37.77747,-122.45886,43,43
Balboa St & Park Presidio Blvd,37.776895,-122.472227,44,44
Balboa St & Park Presidio Blvd,37.776788,-122.472411,45,45
Broderick St & Bay St  ,37.801541,-122.444798,46,46
Broderick St & Beach St  ,37.803415,-122.445176,47,47
Broderick St & Francisco St  ,37.800622,-122.444603,48,48
Broderick St & Jefferson St  ,37.804343,-122.44536,49,49
Broderick St & North Point St ,37.802478,-122.444982,50,50
Broadway & Columbus Ave  ,37.797831,-122.406345,51,51
Broadway & Montgomery St  ,37.798134,-122.40396,52,52
Broadway & Steiner St  ,37.794131,-122.436442,53,53
Broadway & Steiner St  ,37.794056,-122.436278,54,54
Broadway & Stockton St  ,37.797591,-122.408294,55,55
Beale St & Mission St   ,37.791939,-122.396879,56,56
Beach St & Mason St  ,37.807407,-122.414125,57,57
Beach St & Polk St   ,37.806375,-122.423195,58,58
Beach St & Stockton St  ,37.807841,-122.41081,59,59
Bemis St & Moffitt St   ,37.736655,-122.431181,60,60
3rd St & 20th St  ,37.76079,-122.38846,61,61
3rd St & 20th St  ,37.76059,-122.3887,62,62
3rd St & 23rd St  ,37.75569,-122.3879,63,63
3rd St & 23rd St  ,37.75506,-122.3881,64,64
3rd St & Bayview St  ,37.7322,-122.391731,65,65
3rd St & Brannan St   ,37.779285,-122.393185,66,66
3rd St & Carroll Ave   ,37.72567,-122.3943,67,67
3rd St & Carroll Ave   ,37.7253,-122.3942,68,68
3rd St & Evans Ave  ,37.74244,-122.38815,69,69
3rd St & Folsom St   ,37.784204,-122.399326,70,70
3rd St & Hudson Ave   ,37.74012,-122.3887,71,71
3rd St & Innes Ave   ,37.73932,-122.38926,72,72
3rd St & La Salle Ave   ,37.737213,-122.389803,73,73
3rd St & Kirkwood Ave,37.737927,-122.389619,74,74
3rd St & Mission St,37.786373,-122.40211,75,75
3rd St & Palou Ave   ,37.734091,-122.390928,76,76
3rd St & Oakdale Ave,37.734787,-122.390721,77,77
3rd St & Bryant St,37.781651,-122.396198,78,78
3rd St & Revere Ave   ,37.73225,-122.39146,79,79
3rd St & Salinas Ave  ,37.720861,-122.396459,80,80
3rd St & Van Dyke Ave   ,37.729238,-122.392593,81,81
3rd St & Williams Ave  ,37.729166,-122.392776,82,82
4th St & 3rd St   ,37.772966,-122.389694,83,83
4th St & Brannan St   ,37.778305,-122.396602,84,84
4th St & Folsom St   ,37.782081,-122.401333,85,85
4th St & Mission St   ,37.784259,-122.404117,86,86
4th St & Market St   ,37.785527,-122.405675,87,87
4th St & Townsend St   ,37.777109,-122.395135,88,88
4th St & Townsend St,37.776894,-122.394895,89,89
6th Ave & Balboa St  ,37.777146,-122.463918,90,90
6th Ave & Balboa St  ,37.776985,-122.46409,91,91
6th Ave & Clement St  ,37.783053,-122.464377,92,92
6th Ave & Clement St  ,37.783026,-122.464526,93,93
6th Ave & Geary Blvd  ,37.780876,-122.464182,94,94
6th Ave & Geary Blvd  ,37.780768,-122.464354,95,95
1697 7th Ave  ,37.756597,-122.463741,96,96
1697 7th Ave,37.756767,-122.46357,97,97
7th St & Brannan St   ,37.773266,-122.403367,98,98
7th St & Folsom St   ,37.776864,-122.407904,99,99
7th St & Harrison St   ,37.77573,-122.40646,100,100
7th St & Howard St   ,37.777935,-122.409222,101,101
7th St & Mission St   ,37.779327,-122.411032,102,102
7th St & Market St   ,37.780309,-122.412395,103,103
8th Ave & Fulton St  ,37.773639,-122.465808,104,104
8th Ave & Fulton St  ,37.773478,-122.46598,105,105
8th St & Brannan St   ,37.771179,-122.405386,106,106
8th St & Bryant St   ,37.772447,-122.406932,107,107
8th St & Folsom St   ,37.774767,-122.409922,108,108
8th St & Harrison St   ,37.773536,-122.408376,109,109
8th St & Mission St   ,37.77724,-122.413027,110,110
8th St & Market St   ,37.778498,-122.414597,111,111
9th Ave & Irving St  ,37.764288,-122.466241,112,112
9th Ave & Irving St  ,37.763797,-122.46639,113,113
9th Ave & Judah St  ,37.762093,-122.46608,114,114
9th Ave & Judah St  ,37.76204,-122.466241,115,115
