GTFS_name,new_trip_id
11898771,1000_0
11898770,1000_1
11898769,1000_2
11898768,1000_3
11898767,1000_4
11898766,1000_5
11898765,1000_6
11898764,1000_7
11898763,1000_8
11898762,1000_9
11898761,1000_10
11898760,1000_11
11898759,1000_12
11898758,1000_13
11898757,1000_14
11898756,1000_15
11898755,1000_16
11898754,1000_17
11898753,1000_18
11898752,1000_19
11898751,1000_20
11898750,1000_21
11898749,1000_22
11898748,1000_23
11898747,1000_24
11898746,1000_25
11898745,1000_26
11898744,1000_27
11898743,1000_28
11898742,1000_29
11898741,1000_30
11898740,1000_31
11898739,1000_32
11898738,1000_33
11898737,1000_34
11898736,1000_35
11898735,1000_36
11898734,1000_37
11898733,1000_38
11898732,1000_39
11898731,1000_40
11898730,1000_41
11898729,1000_42
11898728,1000_43
11898727,1000_44
11898726,1000_45
11898725,1000_46
11898724,1000_47
11898723,1000_48
11898722,1000_49
11898721,1000_50
11898720,1000_51
11898719,1000_52
11898718,1000_53
11898717,1000_54
11898716,1000_55
11898715,1000_56
11898714,1000_57
11898713,1000_58
11898712,1000_59
11898711,1000_60
11898710,1000_61
11898709,1000_62
11898708,1000_63
11898707,1000_64
11898706,1000_65
11898705,1000_66
11898704,1000_67
11898703,1000_68
11898702,1000_69
11898701,1000_70
11898700,1000_71
11898699,1000_72
11898698,1000_73
11898697,1000_74
11898696,1000_75
11898695,1000_76
11898694,1000_77
11898693,1000_78
11898692,1000_79
11898691,1000_80
11898690,1000_81
11898689,1000_82
11898688,1000_83
11898679,1000_84
11898678,1000_85
11898677,1000_86
11898676,1000_87
11898675,1000_88
11898674,1000_89
11898673,1000_90
11898672,1000_91
11898671,1000_92
11898670,1000_93
11898669,1000_94
11898668,1000_95
11898667,1000_96
11898666,1000_97
11898665,1000_98
11898664,1000_99
11898663,1000_100
11898662,1000_101
11898658,1000_102
11898659,1001_0
11898661,1001_1
11898660,1001_2
11898687,1002_0
11898686,1002_1
11898685,1002_2
11898684,1002_3
11898683,1002_4
11898682,1002_5
11898681,1002_6
11898680,1002_7
11898808,1003_0
11898807,1003_1
11898806,1003_2
11898886,1003_3
11898885,1003_4
11898884,1003_5
11898883,1003_6
11898882,1003_7
11898880,1003_8
11898881,1003_9
11898788,1003_10
11898787,1003_11
11898786,1003_12
11898785,1003_13
11898784,1003_14
11898783,1003_15
11898782,1003_16
11898781,1003_17
11898780,1003_18
11898779,1003_19
11898778,1003_20
11898777,1003_21
11898776,1003_22
11898775,1003_23
11898774,1003_24
11898773,1003_25
11898772,1003_26
11898829,1003_27
11898828,1003_28
11898827,1003_29
11898826,1003_30
11898825,1003_31
11898824,1003_32
11898823,1003_33
11898822,1003_34
11898821,1003_35
11898820,1003_36
11898819,1003_37
11898818,1003_38
11898816,1003_39
11898815,1003_40
11898814,1003_41
11898813,1003_42
11898812,1003_43
11898811,1003_44
11898810,1003_45
11898809,1003_46
11898817,1003_47
11898879,1003_48
11898878,1003_49
11898877,1003_50
11898876,1003_51
11898875,1003_52
11898874,1003_53
11898873,1003_54
11898872,1003_55
11898871,1003_56
11898870,1003_57
11898869,1003_58
11898868,1003_59
11898867,1003_60
11898866,1003_61
11898865,1003_62
11898864,1003_63
11898863,1003_64
11898862,1003_65
11898861,1003_66
11898860,1003_67
11898859,1003_68
11898858,1003_69
11898857,1003_70
11898856,1003_71
11898855,1003_72
11898854,1003_73
11898853,1003_74
11898852,1003_75
11898851,1003_76
11898850,1003_77
11898849,1003_78
11898848,1003_79
