service_id,route_id,trip_id
2,1105,1105_86
2,1105,1105_84
2,1105,1105_83
2,1105,1105_82
2,1105,1105_81
2,1105,1105_80
2,1105,1105_79
2,1105,1105_78
2,1105,1105_77
2,1105,1105_76
2,1105,1105_75
2,1105,1105_74
2,1105,1105_73
2,1105,1105_72
2,1105,1105_71
2,1105,1105_70
2,1105,1105_85
2,1105,1105_69
2,1105,1105_68
2,1105,1105_67
2,1105,1105_66
2,1105,1105_65
2,1105,1105_64
2,1105,1105_63
2,1105,1105_62
2,1105,1105_61
2,1105,1105_60
2,1105,1105_59
2,1105,1105_58
2,1105,1105_57
2,1105,1105_56
2,1105,1105_55
2,1105,1105_54
2,1105,1105_53
2,1105,1105_52
2,1105,1105_51
2,1105,1105_50
2,1105,1105_49
2,1105,1105_48
2,1105,1105_47
2,1105,1105_46
2,1105,1105_45
2,1105,1105_44
2,1105,1105_43
2,1105,1105_42
2,1105,1105_41
2,1105,1105_40
2,1105,1105_39
2,1105,1105_38
2,1105,1105_37
2,1105,1105_36
2,1105,1105_35
2,1105,1105_34
2,1105,1105_33
2,1105,1105_32
2,1105,1105_31
2,1105,1105_30
2,1105,1105_29
2,1105,1105_28
2,1105,1105_27
2,1105,1105_26
2,1105,1105_25
2,1105,1105_24
2,1105,1105_23
2,1105,1105_22
2,1105,1105_21
2,1105,1105_20
2,1105,1105_19
2,1105,1105_18
2,1105,1105_17
2,1105,1105_16
2,1105,1105_15
2,1105,1105_14
2,1105,1105_13
2,1105,1105_12
2,1105,1105_11
2,1105,1105_10
2,1105,1105_9
2,1105,1105_8
2,1105,1105_7
2,1105,1105_6
2,1105,1105_5
2,1105,1105_4
2,1105,1105_3
2,1105,1105_2
2,1105,1105_0
2,1105,1105_1
2,1106,1106_15
2,1106,1106_14
2,1106,1106_13
2,1106,1106_12
2,1106,1106_11
2,1106,1106_10
2,1106,1106_9
2,1106,1106_8
2,1106,1106_7
2,1106,1106_6
2,1106,1106_5
2,1106,1106_4
2,1106,1106_3
2,1106,1106_2
2,1106,1106_1
2,1106,1106_0
2,1106,1106_86
2,1106,1106_85
2,1106,1106_84
2,1106,1106_83
2,1106,1106_82
2,1106,1106_81
2,1106,1106_80
2,1106,1106_79
2,1106,1106_78
2,1106,1106_77
2,1106,1106_76
2,1106,1106_75
2,1106,1106_74
2,1106,1106_73
2,1106,1106_72
2,1106,1106_71
2,1106,1106_70
2,1106,1106_69
2,1106,1106_68
2,1106,1106_67
2,1106,1106_66
2,1106,1106_65
2,1106,1106_64
2,1106,1106_63
2,1106,1106_62
2,1106,1106_61
2,1106,1106_60
2,1106,1106_59
2,1106,1106_58
2,1106,1106_57
2,1106,1106_56
2,1106,1106_55
2,1106,1106_54
2,1106,1106_53
2,1106,1106_52
